Reviews,Ratings
I gift this to my mom. The joy in her eyes tells everything. Fantabulous phone. Thanks Realme and FlipKart for bringing this wonderful phone. Packaging was superb. Easy tracking and above all... Super quick delivery. Overall 5 star from my side. Thanks!,5
"I bought it as a secondary device but was surprised by the camera quality at daylight (low light pics though are bit disappointing)
Battery backup is quite good with 2 days of back up with normal usage.
Display is also good for the price which one is paying.
No lags whatsoever though I haven't tried any high graphics games on this one.
Finger print sensor too is very responsive but is slightly misplaced on the back panel(should have been at the centre).
Over all a good budget phone(a complete...",4
"It is a decent budgeted smart phone and main pros are Durable battery , big display good performance and good design with gaming processor from Helio G85. And Android 11

The corns are bit heavy and need lots of time to charge and heat bit while charging the phone.",4
"Display could have FHD....camera is ok.
Rest are ok in this price. I assure you you will not be excited very okies phone. According to you must go another Better options in this price range.",3
"First of all thanks to flipkart for excellent service. otherwise realme narzo 50 A is realy worst one in realme series, camera quality is so poor, it's not like 50mp camera it's like 2mp camera clarity is very dull n blur, don't buy if you want good camera phone",2
Amazing product worth of its price and 1st time I liked their exchange service delivery executive checked the exchange phone properly and give me real reason of decreasing the price and my phone was also in good condition and they gave me a worthy price of it. They click photos and then the app give its actual price after verifying I also liked the quality of phone will recommend Real me to everyone I'm also planning to change my current phone with any real me model. this phone I purchased fo...,5
"Thanks again Flipkart team the wonderful delivery on time. Kind delivery boy.

This product purchased for my Mom and she is very happy gifted to mom on her birthday

She is so happy!

Amazing product from realme

a. Awesome built quality

b. Best Battery little bit heavy but, it's fine to handle afterall it has 6000 mh battery

c. Camera is good front and back both. It will be better maybe after some updates.

d. Display is also good",5
"This mobile has good features but battery doesn't seems to be an that much good performance though having 6000 Mah others features are great and display is awesome gaming performance is also good as well so overall nice phone and only big draw back Narzo should start giving silicon case which is not provided in the box.

Basic need to protect the mobile.",4
"I GOT THIS PHONE WITH SUPERB EXCHANGE DEAL

Camera is not good upto 50mp
Battery 🔋 is very good 👍
Display is HD only not sAmoled
Speakers sound good
Runs very smooth no lagging 👌.
Overall its good budget smartphone.",5
"Nice phone in this price range.
Pros:
1. Nice battery
2. Average display
3. Average camera
4. Average but good speaker
5. Awesome performance with G85 processor

Cons:
1. Front camera could be 12 mp

Overall good phone to consider in this price.",4
I gift this to my mom. The joy in her eyes tells everything. Fantabulous phone. Thanks Realme and FlipKart for bringing this wonderful phone. Packaging was superb. Easy tracking and above all... Super quick delivery. Overall 5 star from my side. Thanks!,5
"Overall its good for its price point..but it would better if the processor be upgraded..By the way very good Phone in budget range..
The camera details are descent in low lights condition but in outdoor the cameras are awesome
Overall score :- 4.1/5",5
"Camera both front and back is Above Average,But Battery 🔋 Backup is Outstanding performance...if you are battery lover and best low budget mobile for value of our money💰Then no doubts to purchase it... quickly as soon as Possible...thank you Realme and thank you Flipkart,(Delivery boy)",5
Nice mobile work is fast battery backup with super and slim mobile,5
"Realme phones are mostly popular in India. And this narzo 50A is so Cool 😍 i love it , it's camera, battery and processor is good.",5
"Don't go with bad comments after using it regularly it's going fine and have much better camera, battery life, animation speed, charging and much more went well. Go for it . A must buy product with having 50mp camera having timelapse,slow Motion, micro mode too. A good handy phone can also be used to play pubg, cod in low mode. Overall a excellent phone with back side giving a different look.",5
Mobile is good battery 6000ma super camera guality Vera level performance is good phone oxygen Blue closers super,5
"Review after 2.5 months of usage:
Pros:

1.Good Battery Life, 1-1.5 days on full charge
2.Charging is quick
3.No lag while using multiple apps
4.Audio volume as desired.
5.Rear camera able to take crispy snaps in well lit atmosphere. Front camera is average in daytime and struggles to perform in low light.
Cons:

1.Screen quality is just above average. Black color screen lacks true depth. Picture quality not rich and vibrant.
2.Phone is bulky even without back cover. U cannot handle properl...",4
Nice phone but if you want a good display and fast charging then go for realme narzo 30.,4
"Its good to have 6000mah battery but 18W charger is not good enough for 6000mah battery , it takes so long time to full charge the battery.",3
"Camera quality is good , battery 🔋 backup is good, screen touching power is smooth , nice product at this price finally this product is not bad and thanks Flipkart for this adorable phone",5
"Overall its good for its price point..but it would better if the processor be upgraded..By the way very good Phone in budget range..
The camera details are descent in low lights condition but in outdoor the cameras are awesome
Overall score :- 4.1/5",5
"Camera both front and back is Above Average,But Battery 🔋 Backup is Outstanding performance...if you are battery lover and best low budget mobile for value of our money💰Then no doubts to purchase it... quickly as soon as Possible...thank you Realme and thank you Flipkart,(Delivery boy)",5
Nice mobile work is fast battery backup with super and slim mobile,5
"Realme phones are mostly popular in India. And this narzo 50A is so Cool 😍 i love it , it's camera, battery and processor is good.",5
"Don't go with bad comments after using it regularly it's going fine and have much better camera, battery life, animation speed, charging and much more went well. Go for it . A must buy product with having 50mp camera having timelapse,slow Motion, micro mode too. A good handy phone can also be used to play pubg, cod in low mode. Overall a excellent phone with back side giving a different look.",5
Mobile is good battery 6000ma super camera guality Vera level performance is good phone oxygen Blue closers super,5
"Review after 2.5 months of usage:
Pros:

1.Good Battery Life, 1-1.5 days on full charge
2.Charging is quick
3.No lag while using multiple apps
4.Audio volume as desired.
5.Rear camera able to take crispy snaps in well lit atmosphere. Front camera is average in daytime and struggles to perform in low light.
Cons:

1.Screen quality is just above average. Black color screen lacks true depth. Picture quality not rich and vibrant.
2.Phone is bulky even without back cover. U cannot handle properl...",4
Nice phone but if you want a good display and fast charging then go for realme narzo 30.,4
"Its good to have 6000mah battery but 18W charger is not good enough for 6000mah battery , it takes so long time to full charge the battery.",3
"Camera quality is good , battery 🔋 backup is good, screen touching power is smooth , nice product at this price finally this product is not bad and thanks Flipkart for this adorable phone",5
"Very nice phone and value for mobile..
Camera good, battery backup is very good
Display nice, and performance is well so overall
Very good mobile.",5
"Very good mobile in low price..👌👌👌👌👌
good camera...
Very good battery backup...
Very good display and very good performance....
Very good mobile for gaming 😃😃",5
It's great mobile and the service by FP is like rocket just placed order on 16-1-22 and recived on 17-1-22 and parcel proper packed and also divice work properly checked and other mobile features is great for normal steady users.,5
"This is a very good smartphone, especially for students.
It has a very good camera and software optimisation. It has a '50 megapixel' camera. So you can click wide range photos very well. It is also very good for clicking photos of handwritten assignments. Selfie camera is ok.
It has a 'Helio G85' processor. For people who don't no much about processor, this is a very powerful and decent processor. You can run 'BGMI' and some other heavy games like this in good graphics settings very well.
B...",5
Price wise perfect 👌.. Its claiming fast charging but its not.. Camera is good but not as expected.. Nyc performance.,4
Very nice product with bright display and also smooth and great performance,5
"In this price range its a perfect smart phone 👌👌
Display is good..
Looks are superb..
Handy mobile..
Performance is good with Helio 85 and 2 ghz processor....
Rear camera is nice and front camera is good for this price range...

And the battery performance is awesome 👌👌
In this price range if compare to other phones this is the best👌👍👍",5
"It is a redesigned narzo 20 with following differences.

Negative points-

They have removed gyroscope so you won't have functions like raise to wake screen and lift to pick up calls.You also won't get an ultra wide lens.

Build quality is slightly poorer than Narzo 20.

Positive Points-

On the plus side it has a much brighter screen (500 plus units compared to Narzo 20) a slightly better main camera as it has 50 MP main lens with a dedicated depth senor for potrait mode

It also comes wit...",4
Realme nazro50a is good mobile phone and amount is good for Mobile .and 4gb ram and 128 gb is good phone in your range .best thank you...😃,5
"Expedited the display to be good. But the display is not up to the expectations rather than this mobile in this cost vivo will provide good quality of display.. . Camera is average, battery performance will be obviously good. Performance is okay. If you wish to pay games and watch movies or more videos this is not the good option. But it's value for money",3
Awesome android mobile in this price. Unbeatable price and features of mobile. Camera is great . Battery backup is very strong compare with other mobile.,5
Absolutely amazing device in affordable price. Runs smoothly and much better than its competitives . I recommended anyone reading my comment to have a try for this cool gadget !,5
This mobile is very good for normal users if you play games regularly its not a good choice as mention in the specs that it comes with helio G85 gaming processor it not giving good performance on games like free fire i play free fire 2 or 3 days it begins lagging after half an hour. I reviews this phone after using 1 month other wise its a good phone for normal users battery performance will startle you,4
"Very nice mobile phone
I have gifted to my father he is very happy with it
Camera quality is also nice
Overall value for product",5
Front camera is not good back camera is fine . Battery is excellent if you want to for selfie not buy if u want good performance & battery and avarage camera then go for it,4
Awesome mobile. Just too good.,5
Very nice phone ... U can buy it ... Camera quality is also good ❤️❤️,5
Very nice,5
Good phone 📱,5
Lovely,5
Awesome android mobile in this price. Unbeatable price and features of mobile. Camera is great . Battery backup is very strong compare with other mobile.,5
Absolutely amazing device in affordable price. Runs smoothly and much better than its competitives . I recommended anyone reading my comment to have a try for this cool gadget !,5
This mobile is very good for normal users if you play games regularly its not a good choice as mention in the specs that it comes with helio G85 gaming processor it not giving good performance on games like free fire i play free fire 2 or 3 days it begins lagging after half an hour. I reviews this phone after using 1 month other wise its a good phone for normal users battery performance will startle you,4
"Very nice mobile phone
I have gifted to my father he is very happy with it
Camera quality is also nice
Overall value for product",5
Front camera is not good back camera is fine . Battery is excellent if you want to for selfie not buy if u want good performance & battery and avarage camera then go for it,4
Awesome mobile. Just too good.,5
Very nice phone ... U can buy it ... Camera quality is also good ❤️❤️,5
Very nice,5
Good phone 📱,5
Lovely,5
"Excellent mobile in this price, camera is super",5
Amazing mobile.Thanks flipkart.,5
Nice phone and smart gaming 👍👍☺️,5
Nice phone superbb quality camera.. good deal from flipkart,5
I love this phone,5
"Phone performance is quite good
All over in budget phone is totally paisa vasool",3
Very nice camera in this range and battery backup is also too good👍 ☺☺😍😍😍😍😍,5
Back camera and battery is very good,4
best phone for students,5
It's a very nice mobile you can never get this device in this price battery performance good but heat when you charge your mobile,5
"The mobile is a good purchase at this price,battery is high powered,last long,picture sharp,sound quality is good, 50mp camera is superb.",5
Camera is good,5
Nice phone 📱,5
Nice mobile good,4
Good but portrait mode is low,4
"mind blowing i get it in special price☺️☺️
super performance
camera preety good..
battery super
quick charging
best buy😍",5
Osm Product,5
Nice 👍,5
good,5
Suprb,4
"Thank you flipkart...
Product is Good...👍",5
Nice 😘😘😘,5
Very Good quality,5
"Overall good performance 👍.
Camera is ok.
Battery backup is super.
Thank you flipkart and realme😊.",5
Nice product,5
Mind-blowing phone,5
Super 👌 good mobile,5
"Literally, camera sukcs!!!!
Realme accidentally added an extra 0 in front of 5. Making it 50MP instead of 5MP. Front camera also not good. I am using realme phones since laat 4 years , cameras are always their major buying point, but narzo 50a has it as a greatest drawback.
Rest all things are as per specification shown.
Overall good if u can neglect camera .",3
Mobile is best battery backup but charging is slow .3hour time taken in full charge,5
"EXCELLENT PHONE FOR STUDENTS but NO Gyroscope
SENSOR",5
Nice 👍 Smartphone good,4
Awesome,5
nice phone best camera 📸,5
":- BATTERY BACKUP JUST OSM BUT CHARGING NOT FAST
CAMERA IS USABLE NOT BAD
BIG SCREEN
SELFIE IS DECENT
PROCESSOR IS DECENT
ALL ABOUT GOOD OPTION IN 10K
NO LAG ISSUE AND HEAT ISSUE

BEST FOR PARENT'S USE ❤",4
"Average phone
Acutely 9000 range phone",4
Its camera quality and specifications are too good .....and battery is too long backup...,5
Lot of Thanks for Flipkart team resolve any problem within a.minut .A grateful experience with customer cear .,5
"Narendra Sethy
Very nice 👍 product",4
"It was totally a mixed experience in terms of camera in light it produces fantastic photos and in low light it produce the photo like its some cheap kind of 2MP camera from nokia phones.
Performance is good according to price.",4
Display Is Average .. Battery Back up Good . Camera need improvement .. average ... value for money in this price segment,4
"Canceled my exchange mobile phone for having only one small crack on the screen. Why don't the courier boy have the same exchange policy as you have there? It's not fair.
I am very disappointed.",1
So nice,5
"ValuE
FoR


Money 💸",5
Spr mass pangu,5
Nice product in this range,4
Good 🥀❣️,4
In this price sigment it should has Full HD+ display but it is only HD+ and processor g85 . Overall okey. Not too good.,4
"Best budget phone.
Only front camera not too good.",5
Overall the performance of this mobile good in below 10k range.,5
Awesome budget mobile,5
Nice Looking,5
Camera is good.and batter backup is Awesome,5
"value for money..
Great",5
Not good camera📷,2
Good product but display only should be full hd+,5
Good......,5
good,4
Very nice product.,5
Satisfied by the price,4
Camera quality is very poor as per description show 48 megapixel but photo click as a 5 MP camera,2
"Display quality is very bad
This mobile is displayed over surfness .",1
"Display is poor
Function are not that smoother
I would like to buy Motorola Phones in this range comparative to realme phones
Touch is not that faster as shown
For finger sensor you have to find the area for touch
Over all this is not worth of 12k phone, it must be of around 8k-9k.",3
Good phone I'm SO happy🥰🥰🥰,5
Good one,5
Nc,4
nice very nice,5
Goooooood,5
"I bought this phone for my maternal uncle and he absolutely loved it. Good camera set up, great battery and display",5
"Excellent But
3 hour charger",5
"Best Features
1. Monster Battery 6000mah
2. Superb Performance
3. Good Design & Size
4. Budget Friendly
5. Average Display

Improvable Features
1. Quality of Camera should be upgraded
2. Amoled Display should be incorporated
3. 6GB Ram should be incorporated",4
i really happy for this offer ... 1 st time i bought realme product... its smooth touch screen and clear sound and handling easily.. i like it..,5
"Utterly disappointed...I was excited by seeing the battery is 6000 mah and camera 50 mp but actually it's below average performance and it takes very long time to get charged fully and if we Google any website it's not opening, really it's nightmare for me, I feel like the company is cheating by giving wrong features",1
"Best Mobile


Selfie & Back Camera


Charger Type c",5
Osm and looking attractive...,4
Good budget phone and reliable.,5
Fingerprint sensor are slightly upward from its normal position so when you try to touch the sensor you'll feel like you are touching camera (but you're not touching camera) except this the phone is good and 128 GB storage is a plus factor in this budget!,5
This phone camera is not a good quality 😔😔,1
Like it,4
Perfect camera,5
"Camera too good
Battery super good
Display good
what else we need?
worth every penny",5
Best phone in this range,5
Loved it. If you are thinking of buying a smartphone in this range then this is the right option for you.🥰🥰💯💯👍👍,5
Best mobile good camera good battery 🔋👍👍,4
"Small amount with many features back camera was nice , display is ok , battery performance is extremely good",4
Worth,5
Good,4
Best smartphone Realme Narzo 50A.,5
"Value for money,, outstanding performance,, nice product,👌👌👌 mind blowing camera quality,,,",5
Nice phone 📱📱📱,5
"I am really very disappointed, I have exchanged my redmi note 7 pro, it was really a suburb mobile. Realme narzi 50a is very disappointing phone, No good camera , no good battery backup, nothing. First time bought Realme phone, I will not suggest anyone in future.",1
Really nice mobile good camera and good display no hang issue battery Vera leval🔋 really awesome thanks Flipkart and realme😍😍🥰🥰,4
This product is wonderful but the camera is not bad nor good,4
"Good products
Powerful battery
Nice camera
Powerful gaming processor
Samrt Finishing",4
Osm picture quality 😍😍thanks Flipkart ❤️❤️,5
Selfie camera is very bad,1
I'm really disappointed with camera performance it's not 50 megapixel camera it's like old VGI or 1.3 camera worst product..,1
"1.Display quality is very bad,
2. Camera is not good,
3. Battery is good,
4. Performance is avarage
5. Back side look is bad,",2
Best camera,5
"All the reviews you have see on flipkart is fake only made by offering some cashback or coupon discount.
I am very disappointed with front and back camera both in low light. This is also not upto the mark. Battery backup is good. Overall performance is more than good.",3
"Value of money, phone running smoothly,camera quality is good, battery backup OK so I like it.",5
Nic phone this price....🥰😇❤️❤️❤️,5
Nice product,5
Only 30% charging done in 1 hr that is very bad I'm not happy with this product,1
Super mobile,5
The phone is worth it but the Google apps pre-installed and taking large space with lots of glitches makes its performance worst. Please stop this Google monopoly give your own apps like calling messaging file manager with all permissions like old days is a request to realme.,5
"Ok good
Very quickly delivered
Thanks",5
Value of money,4
Phone performance is good. Battery charge takes very long time. Battery Drain is better Because 6000mah.other wise good.,5
"Even with 18W charged it takes more than 3.5 hour to charge this phone, seems fast charger is dummy only.
Back camera is good but front is less than average",3
"I am using this phone since last few days ,the battery is so powerfull ,but at the time of buying this phone I saw its also supports 18 watt charging but after i put this phone on 18 watt charger the phone is not charging fastly ,it's taking 3 hr to charge fully ,it's really disappointing.",4
Narzo series is the best,5
Excellent mobile ..good battery backup.,5
Good,4
Nice phone 🐱,5
"Nice product,👌👌🥰",5
"Good smartphone
Good smartphone good performance",4
Good display is nice but camera is worst,3
All over Good,4
Phone is well,5
Camra quality is not good,1
Very nice / didn't thought I would get this get this in good state but got it,5
Phone is good but Don't buy the same through flipkart. They are just claiming false information provided by them on their platform. Please don't buy through flipkart else you will be cheated and will regret the same later,1
Touch response is poor and camera quality also poor,1
Value for money ok,5
"The worst product narzo could make, overheating, lagging and what not. over and above this, pathetic support from flipkart. just calling daily and rejecting replacement daily. Now the return period is over and i am stuck with this useless hot brick perhaps can be used for ironing my clothes.",1
"Very low buffering speed
Poor performance
Low speaker volume
Don't buy this phone.
I regret within minutes after buying this phone.",1
Good mobile in this price range.,5
Good,3
"Camera not good.. front camera very poor quality.. Don't buy this mobile, failure product...",3
Nice smartphone....,4
Awesome,5
"Bad Quality Camera, other facilities are very good",2
"Mobile camera amazing
Bettery is so powerful
Nice movie value for money 💰",5
Nice,5
So nice and smooth camera with big storage and battery are long last,5
"Worst mobile I ever purchased not a single thing works properly and horrible experience with Flipkart customer team. Flipkart Technical team without come at location do give customer technical support solve the issue, closed issue with comments like device working fine. Who don't either have any diagnostic knowledge.",1
Awesome phone..but slow charging,4
BEST mobile under 11000 go for it,5
Poor camera result,1
Nice,4
Mobile future is super but camera quality not good,5
Thanks Flipkart,4
Overall good at this price range.,5
Awesome,5
"Best phone at this price range
Fully satisfied",5
Camera not upto the mark,3
Display clarity worsted,3
"Not as much I expected in this spec, before this phone I was used redmi9 prime it's better than realme narzo..",3
Nice mobile 📱,5
Thankyou for my phone exchange,5
Worst not connecting call,1
Camera quality is very poor according to 50mp of back camera.,1
1 month ago I bought this phone ....If I zoom a picture after capture it would be blur and like a sand ...And I have no any option on more camera ...Only have pana mode and time lapse ...how can I get other features of more camera option . If anyone know that tell me ..And how to setup good camera settings ?,3
Good phone battery backup is good I'm fully trusted realme brand 5/4 star,4
Good Product,4
In this price point it's gud product 😃,4
"Camera is good in case of depth sensor , micro sensor and portrait portrait",4
"It's very sad to realize that nowadays it's hard to get a good Camera phone Under 12k., despite the camera, this phone is a good deal for those who needs to purchase a good battery backup phone that fullfil basic needs. It's worth to buy for your parents.,",4
Superb,5
Good,4
Mobile is good 👍. I Like,4
Very nice mobile sakata👍👍💞,5
"One of the worst product ever. This is my blunder to buy this product. Camera quality and Display is very poor quality. As in it's mentioned 50MP camera 🤳, it's really like 5 MP camera.
Also, customer service is very bad.
I strongly suggest to not buy this product.",1
Good phone,4
Purchase policy is very pooar,2
Nice mobile,4
"Average and a bit overpriced.
Battery backup is excellent but charging time is more than 3 hours. Just skip and go for other to buy.",3
Nice phon,5
"Camera very bad , display quality very bad,",1
"Awesome mobile. The huge battery 🔋 6000 mAh is like a power house. Display is OK. Rear camera is also gud but the front camera is average, atleast provide 13 MP in front also. Overall value for money mobile.",5
"Camera Quality is very bad ...
I can't explain in words😣😣
I had never expected this from flipkart",2
Battery backup and display quality is gud but camera is not as expected....☹️,2
Best Price Best Mobile Superb 👌👍,5
"pros:Very good product in reasonable price for all respect
Cons: huge 6000mah battery takes 2-3 hrs to get fully charged but battery backup is good for the phone",5
Realme marzi phone is amazing.battery wakeup superb camera is awesome and performance is good.,5
Good product and value for money,4
Camera good,4
Wonderfull,5
Good product,5
Good..,5
Camera is awesome 😍,5
Good,5
Wow what a phone I'm buying this just and what a performance.... Op 👍..🔥❤️❤️❤️,5
"Very good..😍😘 Camera and Nice battery backup 😍.,",5
"Not Expected For Realme, This Mobile Slow Work.. Not Perfect.. Camera Bad Quality.. Some Time Hang out ..Better Going Other Mobile Or Other Brand.",1
Nice,5
"Very nice phone in this budget. My phone battery becomes 50% at the end of the day...
Not hanged at all.
Enough space for lots of app.
Camera should be more power full.",5
Touch performance is not good,1
Excellent camera,3
Osm I gifted my bhai n he really like it....n camera quality is lovely,5
Bad,1
Good service 👍 good quality lowest budget phone,5
Very good phone . Must buy.,4
"Overall Good phone
Battery backup- excellent
Camera - average
Display- Good",4
I am fully satisfied with the product...,5
average,1
"The Camera is good as expected.
6000mAh battery (You can use this for two days (normal usage) without charging 🥰) with 18W adapter charges from 0 to 100 in 2hr 10mins
It's been 10 days and there has been no issue related to anything
And the phone comes with a screen protect film (no scratches 😁)
Over-all best buy at this range",5
OSM Mobile,5
Good Product,4
Sonu and camera clearty is so beautiful and display is very very smooth,5
"Camera and battery backup unbelievable.and all over performance is to good,thanks flipkart and realme.",5
Good.,5
A very nice product .. fully matched with my expectations...value for money...nice performance...go for it??,4
OSM SMARTPHONE AND LIKE TO KEEP IT IN EMAIL,5
Nice phone,5
Bad mobile.,2
Very nice mobile,5
Awesome 👌,5
Nice 👍👍👍👍👍👍 i.m happy,5
Nice product😍,5
Don't waste ur money,2
"Worst Mobile
I am taken worst photos in this camera
I am not see within half hour this mobile because mind is distributed and eyes are too disturbed. Battery performance is good.
Battery charging is too much time
I am requesting to other members please don't by this mobile",1
Nice products,5
Awesome product yrr,5
best,5
"I was deceived by specs..camera is very very poor, performance is laggy...screen glitches in transitions...not a single pro found in this mobile...it must cost around 8500 for its specs.very thick, not at all handy heavy weight...realme 8i is far better atleast in looks(I ordered both for my relatives)..no back case provided in the box.",1
Very bad product camera is very poor,1
"I purchased this Phone 2 days ago.Apart from all specifications,it was written that ,Fast charging was there.but it was slower than normal.It took more than 5 hours for charging,though not fully charged. Please give clarification and solution on this.",2
Excellent product ✌️✌️,5
Prize is low but performance very good,5
"Good mobile in lower price, Camera MP very poor quality as per given camera specification",3
Nice Phone,5
Nice phone awesome camera mind blowing battery back up chip price thanks to filpkart,5
Nice Product..,5
"It is a excellent phone the camera , display, battery is really good",5
Performance bad.and it's hanged.,1
Best performance,4
Worst camera quality......very bad quality photos.... please don't buy the product,1
dont buy,1
This is a good product but battery charging is being slow,5
"This mobile is very bad
Totally waste of money",1
Nice mobaile,5
"Don't buy this phone for camera,Camera is not 50 MP, camera performance is worst
Don't buy this mobile pls for camera is very bad",1
Best phone in this budget... smooth experience with long lasting battery...,5
Wt a phone super qty And good camara,5
Beyond expectations,5
Nice,5
Good mobile and value for money. HD+ display looks bit dull... FHD could have been better... Camera is above average and battery is good,4
"I expect more than 8MP front camera.
The rest are excellent at this price segment.You never be disappointed.",4
"Bettry power so good very good
Display v good
Back camera good but selfe camera not good",4
Please don't purchase waste money,1
Good,5
nice product,4
Under 10k value for money,3
Amazing phoone for the budget...under 10k.. both battery backup and performance is good.,5
Very worst product and also service of flipkart,1
Okeish.. nt OSM,3
Nice one,5
Good,5
I am so thankful to delivery boy for helping me during delivery and faster delivery. He has knowledge.,5
Please don't purchase waste money,1
Good,5
nice product,4
Under 10k value for money,3
Amazing phoone for the budget...under 10k.. both battery backup and performance is good.,5
Very worst product and also service of flipkart,1
Okeish.. nt OSM,3
Nice one,5
Good,5
I am so thankful to delivery boy for helping me during delivery and faster delivery. He has knowledge.,5
Awesome mobile,5
Nice,5
Nice Product ☺️👍😊,5
Average,3
Good dailyvary at the time and the dailyvary man is helpful...I am Happy and satisfy🙂,5
Realme best budget phone excellent performance l loved realme brand.,5
Super product 5star,5
Camera is not opened and flash light is not working,1
Very light weight big size nice product,5
Best in price range,5
Nice phone,5
Poor gaming experience,1
Veri nice products,5
Good but heavy phone.,4
My total money is wasted,1
Good product,4
"Camera quality is so poor,it is like 2 megapixels",3
Not bad,3
Good,5
"Really perfect gaming phone ,awesome",5
High quality performance,5
Excellent,5
"It was my friend's mobile he is not satisfied at all with this..
Performance vise not better choice one.",1
Worst camera,1
Over all good,5
It's phone is amazing 🤩 camera quality is best I am very excited & value of money 💰💰,4
"Purchased it for my father.Got it at an unbelievable price of 9k for (4+128)variant.Camera is great, performance is mighty, slightly sad with the speaker and display quality. But overall a worthy product best phone for 9-10k no competition of it for sure.",5
Exallent phone.,5
Hanging problem,2
Camera quality is very good,5
Good,4
Good but Call recording Problem,3
Nice product at this price,4
Amazing I like it too much😍😍😍,5
Camera quality not good,3
Nice,4
Fantastic camera best mobile really,5
nice,5
Nice one as. A prise segments,5
"Very good phone,i shocked when I received my phone.",5
Good battery backup,4
That's is very good 😊 vallue for money.,5
Quality is too good,5
Everything is good thank you Flipkart,5
Good,4
Nice phone,4
Good,3
